cui	definition
C0014571	Epiphysiolysis
C0018801	Cardiac failure
C0003462	Anus disorder
C0235492	Raynaud-like disorder
C1737329	Dysmorphism
C0576702	Lhermitte's sign
C1096714	Infusion site infection
C0948817	Catheter site inflammation
C0240925	Salivary gland swelling
C0263008	Skin fibrosis
C0042131	Uterine disorder
C0004238	Atrial fibrillation
C1142300	Clostridium colitis
C0233796	Amnesia transient
C0043117	Idiopathic thrombocytopenic purpura
C0740319	Physical assault
C0151622	Endometrial disorder
C0852949	Arterial disorder
C0086769	Panic attack
C0424823	Parotid swelling
C1287298	Urine output
C0002884	Hypochromic anaemia
C0240671	Activated partial thromboplastin time prolonged
C0151757	Lenticular pigmentation
C0235832	Hernia congenital
C0235117	Withdrawal emotional
C0026884	Mutism
C0159039	Spontaneous bruising
C0016053	Fibromyalgia
C0235378	Hepatotoxicity
C0020502	Hyperparathyroidism
C0949691	Spondyloarthropathy
C0392684	Pulse irregular
C0151836	Paranoid reaction
C0003635	Apraxia
C0033936	Alcoholic psychosis
C2363784	Recurrence of neuromuscular blockade
C0151900	Serum iron increased
C0549386	Sensation of warmth
C0541754	Abscess sterile
C0877605	Burning anal
C2242575	Compulsive shopping
C1262170	Herpes dermatitis
C0235984	Salivary duct obstruction
C0006434	Burn
C0151680	Gonadotropic luteinizing hormone increased
C0022362	Jaw disorder
C0679403	Vascular stenosis
C1331543	Puerperal pyrexia
C1112677	Protein allergy
C0860745	Blood monocytes increased
C0745499	Junctional bradycardia
C0036454	Scotoma
C0022951	Lactose intolerance
C1321133	Bronchial haemorrhage
C0038990	Sweating
C0023787	Lipodystrophy
C1610056	Antinuclear antibody increased
C0151560	Central nervous system stimulation
C0235004	Head pressure
C0020624	Hypomenorrhoea
C0435002	Ligament sprain
C0853800	Contrast media reaction
C0919980	VIIth nerve paralysis
C0852885	Bucking
C1112762	Blood methaemoglobin present
C0860711	Carbon dioxide decreased
C0149523	Acute cystitis
C0238796	Bone marrow granuloma
C1321898	Blood in stool
C0855677	Blood creatine phosphokinase MM increased
C0857439	Pituitary hormone deficiency
C0007773	Cerebral arteritis
C0221722	Muscle movement involuntary
C0159658	Clavicle fracture
C0151779	Melanoma skin
C0042258	Vaginal neoplasm
C0854059	pH urine decreased
C1384353	Infestation
C0027962	Melanocytic naevus
C0020507	Hyperplasia
C0748019	Prostatic acid phosphatase increased
C0030353	Papilloedema
C0877373	Advanced cancer
C0234655	Burning sensation in eye
C0549478	Device expulsion
C1301937	Talipes
C0031212	Personality disorder
C0019064	Pericardial haemorrhage
C0858751	Lip blister
C0235818	Bullous eruption
C0547000	Joint lock
C0030196	Pain in extremity
C0085631	Agitation
C0456495	Ear canal erythema
C0311245	Congenital cystic kidney disease
C0281773	Acute glaucoma
C0240130	Swelling of knees
C0235886	Leg edema
C0853692	Blood triglycerides increased
C0154251	Lipid metabolism disorder
C0022602	Actinic keratosis
C1112433	Thromboembolic stroke
C0037998	Splenic infarction
C1407280	Peripheral artery thrombosis
C0699744	Ear infection
C0036412	Scleral disorder
C0009760	Conjunctival haemorrhage
C0553980	Endocardial fibrosis
C1735373	Acute uveitis
C1135120	Breakthrough pain
C0302813	Lactase deficiency
C0038644	Sudden infant death syndrome
C0235996	Hepatic enzyme increased
C0002894	Refractory anaemia with an excess of blasts
C0008925	Cleft palate
C0221477	Vasomotor collapse
C0235299	Right upper quadrant pain
C0232201	Sinus rhythm
C0235318	Fullness abdominal
C0085583	Choreoathetosis
C0683416	Depersonalization syndrome
C0948522	Ocular vascular disorder
C0080233	Tooth loss
C0235395	Fluid loss
C0011884	Diabetic retinopathy
C0936215	Vitamin B6 deficiency
C0178879	Urinary tract obstruction
C0241266	Subcutaneous abscess
C0240449	Nasal sinus drainage
C0011854	Type 1 diabetes mellitus
C0006145	Breast disorder
C0151472	Albumin globulin ratio abnormal
C0854567	Complications of transplant surgery
C0425449	Gasping
C0568180	Lithium poisoning
C0025312	Meningomyelocele
C0546884	Hypovolaemia
C0033774	Pruritus
C0917798	Cerebral ischaemia
C0019270	Hernia
C0235807	Hair texture abnormal
C0341439	Chronic liver disease
C0854375	Mucosal haemorrhage
C0558143	Skin maceration
C0009938	Contusion
C0262662	Ventricular bigeminy
C1739422	Opioid naive
C0004610	Bacteraemia
C0085649	Oedema peripheral
C0392676	Hyperpyrexia
C1167654	Acute prerenal failure
C0007868	Cervical dysplasia
C0031099	Periodontitis
C0018081	Gonorrhoea
C0024523	Malabsorption
C0241075	Skin induration
C0857483	Worsening of diabetes
C0267925	Bile duct stenosis
C0520729	Subconjunctival cyst
C1167661	Cerebral vasoconstriction
C0032300	Lobar pneumonia
C0520863	Diastolic dysfunction
C0240520	Nipple swelling
C0271623	Secondary hypogonadism
C0850638	Infected bites
C0541760	Hepatic adenoma
C0429468	Anovulatory cycle
C0235660	Galactorrhoea
C0021564	Insect bite NOS
C0043049	Water intoxication
C0349702	Corneal scar
C0009193	Coccydynia
C0852911	Blood alkaline phosphatase increased
C0854467	Myelosuppression
C0332579	Lividity
C0234988	Dizziness exertional
C0152030	Skin irritation
C0235325	Gastric haemorrhage
C0001623	Adrenal insufficiency
C0743525	Enterobacter sepsis
C1720771	Hydrocele
C0151576	Creatine phosphokinase increased
C0877336	Blood bilirubin decreased
C0240812	Prostatic pain
C0151478	Neurotransmitter level altered
C1740836	Acute migraine
C0032533	Polymyalgia rheumatica
C0442886	Secondary infection
C0859229	Migration of implant
C0002395	Dementia Alzheimer's type
C0269190	Uterine cervical squamous metaplasia
C0034068	Pulmonary eosinophilia
C0002064	Respiratory alkalosis
C1096274	Corneal thinning
C0694547	Systolic ejection murmur
C0920070	Cervical smear test positive
C0860594	Metastatic malignant melanoma
C0033893	Tension headache
C0240292	Mg++ increased
C0032285	Pneumonia
C0155118	Corneal degeneration
C0276680	Candida albicans infection
C0162119	Haemoglobin decreased
C1112413	Peripheral artery aneurysm
C1565662	Acute renal insufficiency
C0003431	Antisocial personality disorder
C2004491	Scar
C0009377	Colonic pseudo-obstruction
C1698088	Malignant solid tumour
C1527401	Shock insulin
C0007286	Carpal tunnel syndrome
C0006111	Brain disorder NOS
C0235430	Ketonemia
C0877192	Lipodystrophy acquired
C0521845	Drug effect decreased
C0032319	Pneumopericardium
C0020510	Nodular regenerative hyperplasia
C0549384	Hypotonic-hyporesponsive episode
C0580317	Platelet count abnormal
C0241005	Creatine phosphokinase serum increased
C0524620	Metabolic syndrome
C0240962	Scleral icterus
C0750887	Adrenal gland cancer
C0853942	Tongue blistering
C0920102	Phosphorus low
C0741983	Carotid sinus hypersensitivity
C0040435	Tooth disorder
C0010666	Acne cystic
C0263536	Nail hypertrophy
C0158026	Monarthritis
C0334634	Mantle cell lymphoma
C3665900	Intraspinal bleeding
C1096303	Lipase abnormal
C0853026	Porphyria non-acute
C0236068	Swollen tongue
C0473124	Perirenal haematoma
C0151942	Arterial thrombosis
C2242711	Arteritic anterior ischaemic optic neuropathy
C1112712	Haematology test abnormal
C2242996	Tingling sensation
C0235344	Buccal mucosa ulceration
C0948298	Tympanic membrane hyperaemia
C0151611	Electroencephalogram abnormal
C0235648	Breast enlargement female
C0234162	Dysmetria
C0234922	Rash scaly
C0085569	Acidosis hyperchloraemic
C0042798	Vision decreased
C0001122	Acidosis
C0020555	Hypertrichosis
C0339916	Viral upper respiratory tract infection
C0856117	Meniere's disease aggravated
C1096250	Gastrointestinal discomfort
C0241910	Autoimmune hepatitis
C0877334	Arterial stenosis limb
C0855573	Beta 2 microglobulin urine increased
C0022078	Iris disorder
C0740278	Pelvic peritoneal adhesions
C0025309	Meningoencephalitis
C0232695	Bowel sounds decreased
C0392034	Gastrooesophagitis
C0424230	Psychomotor retardation
C0009421	Coma
C0020473	Hyperlipidaemia
C0020580	Hypoaesthesia
C0919714	Retinal vascular thrombosis
C0263386	Ichthyosis acquired
C0022353	Jaundice neonatal
C2129214	Loose stools
C1736167	Systemic allergic reaction
C0014130	Endocrine disorder
C0151578	Creatinine increased
C0877097	Application site vesicles
C0004364	Autoimmune disorder
C0149801	Urosepsis
C1697542	Infusion site thrombosis
C0855642	Blood uric acid abnormal
C2267233	Hypotonia neonatal
C0242528	Azotaemia
C0036203	Cutaneous sarcoidosis
C2750515	Subcutaneous bleeding
C0919572	Agitation postoperative
C0860967	Calcium low
C1112616	Loss of proprioception
C0854058	pH urine increased
C0002895	Sickle cell anaemia
C0267033	Lip ulceration
C0025064	Mediastinitis
C0239981	Hypoalbuminaemia
C1112489	Corneal irritation
C0233494	Tension
C0750016	Generalized urticaria
C0085082	Fungaemia
C0423153	Lacrimation
C0339478	Arteriosclerotic retinopathy
C0021831	Unspecified disorder of intestine
C0853050	Blood acid phosphatase increased
C0948643	Hyperuricosuria
C0221773	Hyperamylasaemia
C0027051	Myocardial infarction
C0348024	Dysfunction thyroid
C0151624	Ulcerative enterocolitis
C0015467	Facial neuralgia
C0302592	Cervix carcinoma
C0013395	Dyspepsia
C1253936	Joint effusion
C0235698	Abdominal distension gaseous
C0243010	Encephalitis viral
C0023473	Chronic myeloid leukaemia
C0859032	Moaning
C0855247	Sleep attacks
C0948389	Intestinal hypomotility
C0344432	Multifocal ventricular tachycardia
C0392025	Enlargement abdomen
C0032326	Pneumothorax
C0008513	Chorioretinitis
C0856102	Gynecomastia aggravated
C0085762	Alcohol abuse
C0235876	Depression aggravated
C0860945	Creatinine normal
C0017178	Gastrointestinal disorder
C0235974	Pancreatic carcinoma
C0263465	Skin xerosis
C0332563	Papule
C0264352	Bronchial ulceration
C0277961	Oily hair
C0235834	Upper motor neurone lesion
C3536683	Ovulation inhibited
C0578735	Lymphadenopathy axillary
C0497201	Abnormal sensation in eye
C0242770	Bronchiolitis obliterans with organizing pneumonia
C0235437	Gravitational oedema
C0700363	Rhythm idioventricular
C1167760	Bacterial test positive
C0333271	Bloody discharge
C0028734	Nocturia
C0034063	Pulmonary oedema
C0302870	Microcytic
C0011875	Diabetic vascular disorder
C0393947	Cholinergic crisis
C0859023	Talkativeness
C0149741	Breast discharge
C0007117	Basal cell carcinoma
C0042900	Vitiligo
C0277885	Blood pressure systolic decreased
C0853959	Device breakage
C3203646	Bilirubin total decreased
C1542178	Lower limb fracture
C0029261	Orgasm abnormal
C1868988	Immune complex reaction
C1262141	Poor quality sleep
C0236993	Other sleep disturbances
C1142017	Glabellar reflex abnormal
C0857386	Nocturnal confusion
C0522757	Exposure to toxic agent
C0265031	Haemorrhoidal haemorrhage
C0020641	Hypopyon
C0877450	Obnubilation
C0549293	Nasal soreness
C0007855	Cervical polyp
C0013404	Dyspnoea
C0151594	Diarrhoea haemorrhagic
C0239150	Creatinine low
C0549395	Blood urea decreased
C0744130	Diabetic foot infection
C0038238	Steatorrhoea
C2010560	Gastritis haemorrhagic
C0334579	Anaplastic astrocytoma
C0555971	Oral infection
C1142257	Incision site pain
C1096185	Dacryostenosis acquired
C1504537	Vegetative dystonia
C0024103	Breast mass
C0264522	Pneumonia hypostatic
C0574068	Rib pain
C0267446	Acute gastroenteritis
C0595877	Blood glucose increased
C0920063	Uric acid high
C0522171	Sense of oppression
C0919768	Extremity contracture
C1868917	Heart racing
C0860801	Glucose low
C0020217	Hydatidiform mole
C0520723	Periorbital haematoma
C0240802	Pregnancy test positive
C0231666	Wrist drop
C0178416	Hypoplastic anaemia
C0231451	Joint hyperextension
C0521500	Injection site extravasation
C0238154	Epidural haemorrhage
C0031090	Periodontal disease
C0013298	Duodenitis
C0455769	Energy increased
C0178874	Neoplasm progression
C0033117	Priapism
C0948857	Electrocardiogram repolarisation abnormality
C0020453	Hyperaesthesia
C2979982	Vaginal haemorrhage
C0040427	Tooth malformation
C0035328	Retinal vein occlusion
C0022904	Lacrimal disorder
C0877508	Irritation gum
C2586050	Oesophagitis ulcerative
C0233571	Excitement
C0549635	Potassium abnormal NOS
C0235819	Rash bullous
C0023267	Leiomyoma
C0423798	Increased tendency to bruise
C0037997	Spleen disorder
C0877046	Tooth infection
C0936254	Polyradiculoneuritis
C0024248	Lymphocele
C0020443	Hypercholesterolaemia
C0234943	Application site anaesthesia
C0036651	Solar lentigo
C0438254	Urine electrolytes abnormal
C0015934	Microsomia
C1096106	Wound complication
C0340885	Prosthetic cardiac valve thrombosis
C0417744	Mosquito bite
C0040034	Thrombocytopenia
C0235018	Localised numbness
C0429059	Electrocardiogram T wave amplitude decreased
C0205707	Sprue
C0018987	Hemimelia
C0023440	Erythroleukaemia
C0158570	Vascular anomaly
C0020457	Diabetic hyperosmolar coma
C0013928	Fat embolism
C0016412	Folate deficiency
C0151313	Peripheral sensory neuropathy
C1527405	Erythrocytosis
C0043145	Whiplash injury
C0265057	Superficial thrombophlebitis of leg
C0029883	Middle ear effusion
C0267537	Caecitis
C0877322	Muscle tightness
C0345326	Phimosis
C0009492	Compartment syndrome
C0000772	Multiple congenital abnormalities
C0034194	Pyloric stenosis
C0406317	Plaque psoriasis
C0235567	Sputum increased
C0175167	Acneiform eruption
C0024902	Breast pain
C0235770	Malignant ovarian cyst
C1141936	Purple glove syndrome
C0034931	Reflex sympathetic dystrophy
C2242582	Cholestatic liver injury
C0025274	Menarche
C0151864	Pregnancy disorder
C0858217	Gastrointestinal fullness
C0085160	Hidradenitis
C0877363	Gynecological-related pain
C0038013	Ankylosing spondylitis
C0435630	Wrist fracture
C0235793	Mastitis male
C0020175	Hunger
C0034642	Rales
C0268854	Contracted bladder
C0857087	Dizzy spells
C0232285	Chest pressure sensation of
C0578682	Eyebrow loss of
C0677865	Brain stem glioma
C0032266	Pneumatosis cystoides intestinalis
C0235295	Abdominal distress
C0010692	Cystitis
C0400823	Neutropenic colitis
C0038833	Superior vena cava syndrome
C1760428	Suicidal behaviour
C0042139	Uterine perforation
C0404445	Ovarian atrophy
C0023484	Plasma cell leukaemia
C0853954	Corneal calcification
C0013274	Patent ductus arteriosus
C0948586	Protein urine present
C0001231	Ectopic ACTH syndrome
C0948733	Abdominal spasm
C0428908	Sinoatrial node dysfunction
C0851536	Administration site reaction
C0751436	Tetrahydrobiopterin deficiency
C0040414	Tongue hairy
C0856105	Hepatitis aggravated
C0018552	Hamartoma
C0860434	Fluid and electrolyte imbalance
C0003119	Anophthalmos
C0149778	Soft tissue infection
C0009376	Colonic polyp
C0542008	Injection site haematoma
C1608408	Malignant transformation
C0041948	Uremia
C0853776	Blood albumin increased
C0271093	Stargardt's disease
C0751476	Retching reflex decreased
C0549428	Nicotinic effects
C0015944	Premature rupture of membranes
C0751249	Chronic insomnia
C0022660	Renal failure acute
C1142498	Application site excoriation
C0240273	Lymph node tenderness
C0858867	Reticulocytopenia
C0235490	Peripheral ischaemia
C0086981	Syndrome sicca
C0018817	Atrial septal defect
C1142357	Symptomatic hyperlactatemia
C1527411	Retinal vein thrombosis
C1112613	Neonatal tachypnoea
C0524702	Pulmonary thromboembolism
C1411873	Ovulation disorder
C0948484	Anal discomfort
C0153690	Bone cancer metastatic
C0020542	Pulmonary hypertension
C0549399	Low density lipoprotein increased
C1112257	Oral pustule
C0085655	Polymyositis
C0853087	Nail abnormality NOS
C0687713	Gastrointestinal pain
C1704375	Hypophosphataemic rickets
C0855619	Alanine aminotransferase abnormal
C0238425	Sickle cell anaemia with crisis
C0235446	Azotaemia of renal origin
C3257803	Tearing eyes
C0858797	Instillation site pain
C0239987	Immunoglobulin G low
C1692886	Arthritis bacterial
C0858219	Clinical flare reaction
C0855331	Electrocardiogram QT corrected interval
C2939065	Airway edema
C0262578	Night cramps
C1527407	Eosinophilic pneumonia
C0341512	Retroperitoneal haematoma
C0740304	COPD exacerbation
C0004063	Assault
C0011269	Vascular dementia
C0549288	Pelvic venous thrombosis
C0346392	Choroidal nevus
C0015401	Foreign body in eye
C0242429	Throat sore
C0041747	Unintended pregnancy
C0854286	Eyelid function disorder
C0239836	Paraesthesia hand
C0694575	Macular fibrosis
C0857035	Acute anaphylaxis
C0853960	Bacterial disease carrier
C0042035	Micturition disorder
C0233569	Physical wandering
C0349790	Exacerbation of asthma
C0034372	Quadriplegia
C0161446	Brachial plexus injury
C0019080	Haemorrhage
C0877792	Circadian rhythm sleep disorder
C0917805	Transient cerebral ischemia
C0042384	Vasculitis
C0001144	Acne vulgaris
C0042135	Uterine atony
C0015403	Eye infection
C0860207	Drug-induced liver injury
C2752009	White matter lesion
C0340515	Myocardial depression
C0032797	Postpartum haemorrhage
C0015409	Eye penetration
C0333582	Dystrophic calcification
C0560637	Genital injury
C0699791	Carcinoma stomach
C0429774	Residual urine volume
C1269683	Major depression
C0042063	Congenital genitourinary abnormality
C0149744	Oral lesion
C0233401	Psychiatric symptom
C0343065	Urticaria physical
C0542044	Incoherent
C0549622	Sexual dysfunction
C0267158	Reflux gastritis
C0282193	Iron overload
C0155305	Optic ischaemic neuropathy
C0877042	Graft loss
C0264980	Purple toes syndrome
C0019284	Diaphragmatic hernia
C0010417	Cryptorchism
C0009768	Conjunctivitis bacterial
C0340865	Anaphylactoid reaction
C0162628	Viral skin infection
C0027073	Myofascial pain syndrome
C0235905	Myasthenia gravis-like syndrome
C0010520	Cyanosis
C0852361	Skin haemorrhage
C0344375	Stomach cramps
C0030297	Pancreatic neoplasm
C0001430	Adenoma benign
C0857144	Metastatic pain
C1168134	Anti-thyroid antibody positive
C0027066	Myoclonus
C0744131	Foot infection fungal NOS
C0267596	Rectal haemorrhage
C0948786	Blanching
C0034013	Precocious puberty
C0149732	Muscle rupture
C0028949	Oligomenorrhoea
C0015459	Face injury
C3495916	Myocardial hypertrophy
C0239343	Acral erythema
C1167699	Lymphostasis
C3160754	Atypical femur fracture
C1167965	Urine output increased
C0024282	Lymphocytosis
C0151281	Genital ulceration
C0549239	Dizziness aggravated
C0264383	Organising pneumonia
C0035067	Renal artery stenosis
C0858600	Taste sweet
C0849918	Eyelids pruritus
C0000768	Congenital anomaly
C0282005	Scrotal swelling
C0002893	Refractory anemia
C0264490	Acute respiratory failure
C0729552	Genital infection
C0151752	Lactation female
C0282160	Aplasia cutis congenita
C0151849	Phosphatase alkaline increased
C3665347	Visual impairment
C0152191	Central scotoma
C0238113	Radiation oesophagitis
C0520757	Delayed recovery from anaesthesia
C0085632	Apathy
C1456786	Paranoid state
C0856864	Headache fullness
C1262018	Transplant failure
C0003838	Arterial occlusive disease
C0262666	Vulval abscess
C1704272	Benign prostatic hyperplasia
C0520474	Aseptic necrosis of bone
C1167945	Infusion site rash
C0456909	Blindness
C0392557	Cataract nuclear
C0341742	Acute retention of urine
C1112442	Female sexual dysfunction
C0151571	Corneal lesion
C0392176	Gastric irritation
C0015923	Foetal alcohol syndrome
C1608410	Head titubation
C0863090	Allergic skin reaction
C0151685	Growth accelerated
C0151746	Kidney function abnormal
C0542346	Pimples
C0178421	Fibroadenoma of breast
C0877314	Blood glucose fluctuation
C0277585	Drug intolerance
C0483455	Prothrombin time ratio
C0006271	Bronchiolitis
C0018780	High frequency deafness
C0522055	Electrocardiogram abnormal
C0919924	Pulmonary toxicity
C0001824	Agranulocytosis
C1504343	Acarodermatitis
C0018994	Haemobilia
C0034359	Pyuria
C0015407	Eye infection viral
C0020676	Hypothyroidism
C0034079	Lung nodule
C1368065	Vascular purpura
C0854456	Cellulitis gangrenous
C0086565	Hepatic function abnormal
C0856825	Acute graft versus host disease
C0038661	Suicide
C0027404	Narcolepsy
C0853785	Blood iron decreased
C0152183	Explosive personality disorder
C0014549	Grand mal convulsion
C0403447	Chronic renal insufficiency
C0854131	Vaginal wall congestion
C0334492	Malignant mesenchymoma
C0206062	Interstitial lung disease
C1610080	ANA increased
C0205875	Papillomatosis
C0235250	Hyperemesis
C1704327	Bone sarcoma
C0541766	Aggravation of existing disorder
C0025193	Melancholia
C0476369	Echocardiogram abnormal
C0581164	Digoxin level increased
C1386135	Acute depression
C0042961	Volvulus
C0020488	Hypernatraemia
C1321632	Venous thrombosis deep limb
C0272891	Knee sprain
C0025160	Megacolon
C0919777	Band neutrophil count increased
C0428974	Arrhythmia supraventricular
C0025286	Meningioma
C3495700	Atypical fracture
C0522165	Feeling of relaxation
C0026986	Myelodysplastic syndrome
C0877331	Abnormal clotting factor
C0240447	Nasal mucosal erythema
C0850001	Heaviness of head
C0853312	Osteoarthritis aggravated
C0521591	Paraesthesia oral
C0151854	Abnormal platelets
C2173677	Renal cyst
C0086439	Hypokinesia
C0151878	Electrocardiogram QT prolonged
C0541840	Contraction skeletal muscle
C0426732	Prostatomegaly
C0242231	Coronary artery stenosis
C0549389	Wound discharge increased
C0152025	Polyneuropathy
C0577730	Family stress
C0205929	Anal fistula
C0235214	Ejaculation inhibited
C0853592	Blood antidiuretic hormone abnormal
C0034902	Aplasia pure red cell
C0234979	Dysdiadochokinesis
C0853945	Oral mucosal blistering
C0242669	Retained placenta
C0221780	Rectal discharge
C0857468	Withdrawal hypertension
C0027125	Myotonia
C0476281	Non-cardiac chest pain
C0032827	Potassium deficiency
C0151834	Papanicolaou smear suspicious
C1442835	Solar dermatitis
C0040136	Thyroid neoplasm
C0272126	Evans syndrome
C0001418	Adenocarcinoma
C0857153	Nodal block
C2609319	Papulopustular rash
C0235802	Pupillary reflex impaired
C0279637	Anal cancer
C0085594	Fever chills
C0858950	Mental aberration
C0242966	Systemic inflammatory response syndrome
C0007114	Skin cancer
C0376670	Alcoholic pancreatitis
C0855675	Blood zinc decreased
C0743668	Limb injury
C0239937	Microscopic hematuria
C0025874	Metrorrhagia
C0240941	Itchy scalp
C0152154	Prolonged labour
C0019196	Hepatitis C
C0856623	Orofacial oedema
C0027145	Myxoedema
C0233488	Feeling of despair
C0155877	Allergic asthma
C1393815	Contraceptive device complication
C0751576	Vocal cord paresis
C0232257	Systolic murmur
C0854530	Human herpesvirus 6 infection
C0547030	Visual disturbance
C0040953	Trichotillomania
C1504438	Cerebral artery stenosis
C0018926	Haematemesis
C0012241	Gastrointestinal malformation
C0270549	Generalised anxiety disorder
C0013687	Effusion
C0010037	Corneal oedema
C0235055	Skeletal muscle paralysis
C0700075	Motor restlessness
C3263723	Injury
C0424000	Suicidal ideation
C0001511	Adhesion
C2712871	Gout attack
C0038732	Sulphaemoglobinaemia
C0151773	Bone marrow depression
C0029734	Other scleritis
C0549398	Meibomianitis
C1321581	Bezoar
C0026825	Muscle tone flaccid
C0919702	Ventricular hypokinesia
C0003892	Neuropathic arthropathy
C1167783	Mucosal excoriation
C0020757	Ichthyosis
C0236663	Alcohol withdrawal syndrome
C0863129	AGEP
C0741553	Hemorrhage abnormal
C1619733	Gout flare
C0235957	Muscle necrosis
C0542476	Forgetfulness
C0269608	Antepartum hemorrhage
C0151588	Deafness transitory
C1306571	Hepatic insufficiency
C0030201	Postoperative pain
C0877497	Redness gum
C0920114	Urinary sediment abnormal
C0877134	Hernia pain
C0860703	Serum total protein decreased
C0857979	Serum prolactin decreased
C0041912	Upper respiratory tract infection
C0005778	Clotting
C0011609	Drug eruption
C0948284	Corneal decompensation
C0000729	Abdominal cramps
C0342649	Vascular calcification
C0239819	Edema hands
C0043144	Wheezing
C0009918	Joint contracture
C0263492	Ingrown hair
C0221030	Hyperviscosity syndrome
C0869523	Carditis
C0010399	Crying
C0235551	Laryngotracheal oedema
C0235680	Vaginitis ulcerative
C3160891	Hormone-dependent prostate cancer
C0028077	Night blindness
C0007780	Cerebral artery embolism
C1384489	Scratch
C0857117	Hand rash
C0549405	Blood pressure fluctuation
C0521008	Screaming
C0151664	Gastrointestinal perforation
C1704436	Peripheral arterial disease
C0278045	Urine odour abnormal
C0018991	Hemiplegia
C0542127	Oversedation
C0014591	Epistaxis
C0000735	Abdominal neoplasm
C0333243	Pitting edema
C0428409	Progesterone levels
C0025297	Meningitis viral
C0004936	Mental disorder
C0151699	Haemorrhage intracranial
C0429098	Electrocardiogram QRS complex
C0240873	Rectal mass
C0268009	Plasma osmolality increased
C1527410	Renal rickets
C0599918	Nephrotoxicity
C0019880	Homocystinuria
C0578736	Lymphadenopathy inguinal
C0267356	Duodenal perforation
C0521616	Pseudoporphyria
C0018021	Goitre
C0423232	Corneal staining
C0549410	Palmar-plantar erythrodysaesthesia syndrome
C1535879	Vessel puncture site bruise
C0003128	Anovulation
C1384666	Hearing impaired
C0699790	Carcinoma colon
C0398625	Protein C deficiency
C1868912	Uric acid increased
C0857236	Rash both legs
C0853737	Blood bicarbonate increased
C0151698	Injection site haemorrhage
C0549419	Skin fragility
C0151872	Prothrombin level increased
C0558919	Stress at work
C0948050	Small bowel angioedema
C0232488	Abdominal colic
C1142383	Breast tension
C0341753	Pelvic fibrosis
C0853746	Blood creatinine abnormal
C0858176	Serum sodium abnormal
C0156404	Menstruation irregular
C0029132	Optic nerve disorder
C0025517	Metabolic disorder
C0549393	Alcohol problem
C0235401	Glucose tolerance abnormal
C0149931	Migraine
C0423361	Posterior vitreous detachment
C0085616	Vasospasm
C0038362	Stomatitis
C0231441	Immobile
C0079035	Bradyarrhythmia
C0030305	Pancreatitis
C1141885	Sclerosing encapsulating peritonitis
C0041296	Tuberculosis
C0391996	Hepatic atrophy
C0235048	Smarting
C0877635	Cytomegalovirus viraemia
C0345217	Cloacal exstrophy
C0042740	Viral syndrome
C1510586	Autism spectrum disorder
C0239279	Epididymal tenderness
C0520887	Electrocardiogram ST segment depression
C0027858	Neuroma
C1262760	Drug-induced hepatitis
C0151618	Embolus leg
C0032226	Pleural disorder
C0035326	Retinal vascular occlusion
C1142011	Orchitis noninfective
C0020433	Hyperbilirubinaemia
C1096282	Medication residue
C0855223	Hallucinations, mixed
C0877098	Application site dryness
C1527336	Sjogren's syndrome
C0151971	Intestinal ulcer
C0038379	Strabismus
C0029396	Ectopic ossification
C0008497	Choriocarcinoma
C0151981	Peptic ulcer reactivated
C0241669	Venous occlusion
C0018799	Cardiac disorder
C0410919	Bradycardia foetal
C0271738	Secondary adrenocortical insufficiency
C0349231	Phobia
C0699885	Bladder carcinoma
C0026393	Molluscum contagiosum
C0235634	Costovertebral angle tenderness
C1735634	Acute allograft rejection
C0151790	Nasal septum disorder
C0026836	Muscle relaxation
C0473117	Ischaemic hepatitis
C0155002	Sudden visual loss
C0007873	Cervix neoplasm
C1279945	Acute interstitial pneumonitis
C0235496	Oral mucosal petechiae
C0403529	Goodpasture's syndrome
C0858357	Oesophageal stenosis acquired
C0581870	Pain hunger
C0235046	Paraesthesia skin
C0009324	Colitis ulcerative
C0020651	Orthostatic hypotension
C1321686	Faecaloma
C0149516	Chronic sinusitis
C0028778	Obstruction
C0521494	Application site pigmentation changes
C0853786	Blood sodium abnormal
C0005694	Bladder neck obstruction
C0016977	Gallbladder disorder
C0035309	Retinal disorder
C0428196	Bicarbonate level
C0003962	Ascites
C3495832	Rheumatic disorder
C1328428	Mycobacterium test
C0206633	Angiomyolipoma
C0149770	Rectal abscess
C0858854	Unrest
C1096506	Free prostate-specific antigen increased
C0521169	Compression fracture
C1735368	Acute dystonia
C0595878	Blood sodium increased
C0085393	Immunocompromised
C0344232	Vision blurred
C0024790	Paroxysmal nocturnal haemoglobinuria
C0854466	Implant expulsion
C0549234	Arthralgia aggravated
C1328519	Retinal pigment epithelial tear
C0040210	VT
C0264906	Atrioventricular block second degree
C0149782	Squamous cell carcinoma of lung
C0019154	Hepatic vein thrombosis
C1443060	Feeling abnormal
C2230138	Pulse rate decrease marked
C0233472	Affect lability
C0029927	Ovarian cyst
C0040460	Toothache
C0520878	Electrocardiogram PR shortened
C1167675	Application site folliculitis
C0032343	Poisoning
C1696110	Vessel puncture site haematoma
C0025061	Mediastinal disorder
C0039239	Sinus tachycardia
C1321523	Wandering pacemaker
C0001175	Acquired immunodeficiency syndrome
C0042401	Vasodilation
C0855242	Disturbance in sexual arousal
C0024236	Lymphoedema
C3267047	Immune-mediated necrotising myopathy
C0151775	Injection site mass
C0041909	Upper gastrointestinal haemorrhage
C0151512	Injection site atrophy
