C1263960	Diabetic coma
C1167779	Neutropenic infection
C0040797	Traumatic haemorrhage
C0001206	Acromegaly
C0543698	Hypersensitive syndrome
C0920171	Foreign body sensation in eyes
C0239946	Hepatic fibrosis
C0232197	Cardiac fibrillation
C1735348	Anal irritation
C0033247	Proctocolitis
C0677658	Breast disorder female
C0011124	Libido decreased
C0233401	Psychiatric symptom
C0042164	Uveitis
C0080194	Muscle strain
C0017979	Glycosuria
C0034013	Precocious puberty
C1868809	Catheter thrombosis
C0700590	Sweating increased
C0235763	Psoriasis flare-up
C0553686	Brain herniation
C0028960	Oligospermia
C0546956	Onychoclasis
C0085652	Pyoderma gangrenosum
C1384606	Dyspareunia
C1112436	QRS axis abnormal
C0156181	Peritoneal adhesions
C0596170	Binge eating
C0235847	Hyperhemoglobinemia
C0024314	Lymphoproliferative disorder
C0006848	Mucocutaneous candidiasis
C0036341	Schizophrenia
C0019065	Peritoneal haemorrhage
C0151765	Liver fatty deposition
C2607914	Rhinitis allergic
C0020569	Salivary gland enlargement
C0031256	Petechiae
C0020615	Hypoglycaemia
C0018798	Heart malformation
C0235050	Tingling skin
C0032989	Multiple pregnancy
C0858093	Plasma calcium decreased
C0014175	Endometriosis
C0158775	Spine malformation
C0042345	Varicose vein
C0546817	Fluid overload
C0014306	Enophthalmos
C1142357	Symptomatic hyperlactatemia
C0239885	Headache dull
C0242420	Retinal oedema
C0262417	Pancreatitis acute on chronic
C0036104	Salivation
C0013132	Drooling
C1333984	Hepatosplenic T-cell lymphoma
C0035435	Rheumatism
C0242379	Lung neoplasm malignant
C0600125	Electrocardiogram PR prolongation
C0344304	Abdominal pain generalised
C0221242	Fixed drug eruption
C0860645	Bizarre dreams
C0234987	Dizziness postural
C0232498	Abdominal tenderness
C0542149	Injection site phlebitis
C0018944	Haematoma
C0028754	Obesity
C0149651	Clubbing
C0854097	Hypoaesthesia eye
C1852242	AION
C0852361	Skin haemorrhage
C0235266	Eye irritation
C0020619	Hypogonadism
C0853402	Exposure to poisonous plant
C0221706	Road traffic accident
C0085166	Vaginitis bacterial
C0009952	Febrile convulsion
C0010072	Coronary artery thrombosis
C0521507	Injection site ulcer
C0039591	Testicular pain
C0919659	Oropharyngeal candidiasis
C0009376	Colonic polyp
C0036420	Circumscribed scleroderma
C0856151	Fat redistribution
C0019829	Hodgkin's disease
C0030319	Panic disorder
C0235234	Dry throat
C0853089	Intentional self-injury
C0746961	Oxygen saturation decreased
C0392684	Pulse irregular
C0151899	Syndrome screaming
C0876980	Headache aggravated
C0520893	Localized exfoliation
C1321898	Blood in stool
C0153690	Bone cancer metastatic
C0542027	Hypercoagulation
C0032994	Tubal pregnancy
C0020564	Hypertrophy
C0232352	Vascular insufficiency
C0006625	Cachexia
C0019193	Hepatitis toxic
C0035344	Retinopathy of prematurity
C0023518	Leukocytosis
C0541820	Carbohydrate tolerance decreased
C0259817	Xerosis
C0013985	Emotional disturbance NOS
C0151685	Growth accelerated
C3251821	Catatonic reaction
C0221780	Rectal discharge
C0034359	Pyuria
C0085610	Sinus bradycardia
C0151576	Creatine phosphokinase increased
C0038826	Superinfection
C0240564	Nasal pain
C0042594	Vestibular disorder
C0028768	Obsessive-compulsive disorder
C0000932	Traffic accident
C0151854	Abnormal platelets
C0017150	Gastrinoma
C0020620	Hypohidrosis
C0233697	Obsessive rumination
C0012746	Dissociative disorder
C3544060	Accidental exposure to product
C0012691	Joint dislocation
C0156312	Testicular atrophy
C0235988	Serum iron decreased
C1384666	Hearing impaired
C0019572	Hirsutism
C0003855	Arteriovenous fistula
C0151588	Deafness transitory
C0020678	Hypotrichosis
C0039231	Tachycardia
C1112209	Abdominal infection
C0011884	Diabetic retinopathy
C0005747	Blepharospasm
C0020540	Malignant hypertension
C0268621	Hypermethioninaemia
C0220982	Ketoacidosis
C0271710	Hypoglycemic reaction
C0014859	Oesophageal neoplasm
C0271468	Eustachian tube disorder
C0548823	Distress gastrointestinal
C0549622	Sexual dysfunction
C1261473	Sarcoma
C0029443	Osteomyelitis
C0409497	Joint injury
C0877126	Application site inflammation
C0877097	Application site vesicles
C0235074	Tongue paralysis
C0019147	Coma hepatic
C0241166	Skin tightness
C0022667	Renal papillary necrosis
C0549419	Skin fragility
C0700502	Primary hypothyroidism
C0079027	Intraoperative hemorrhage
C0085692	Cystitis haemorrhagic
C0029463	Osteosarcoma
C0877635	Cytomegalovirus viraemia
C0221773	Hyperamylasaemia
C0232191	Reflex bradycardia
C0015802	Femur fracture
C0002453	Amenorrhoea
C0151911	Generalised spasm
C0852334	Joint related signs and symptoms
C0162678	Neurofibromatosis
C0152018	Oesophageal carcinoma
C0014130	Endocrine disorder
C0549356	Inflicted injury
C1619702	Device related infection
C0259768	Wound dehiscence
C0276908	Pneumocystis jirovecii infection
C0235309	Upset stomach
C0234369	Trembling
C1141863	Lymphocyte transformation test positive
C0152169	Renal colic
C0018780	High frequency deafness
C1456865	Calculus ureteric
C0004377	Automatism
C0240735	Personality change
C0242151	Violent
C0021359	Infertility
C0162824	Photocontact dermatitis
C0236024	Pharyngeal oedema
C0878588	Sphincter of Oddi dysfunction
C0595902	Blood chloride decreased
C0002792	Anaphylactic shock
C0519030	Pneumonia klebsiella
C0151827	Eye pain
C0022281	Eye pruritus
C0860745	Blood monocytes increased
C0600327	Toxic shock syndrome
C1320835	Drug fever
C0038362	Stomatitis
C0151476	Alkalosis hypochloraemic
C0162628	Viral skin infection
C0549393	Alcohol problem
C0221345	Nail discolouration
C0235960	Parkinsonism aggravated
C1306889	Peripheral arterial occlusive disease
C0494559	Inner ear disorder
C0314719	Dry eye
C0034530	Radiation injury
C0023321	Lentigo
C0008497	Choriocarcinoma
C0034150	Purpura
C1112565	Pneumatosis intestinalis
C0235002	Head discomfort
C0151773	Bone marrow depression
C0034887	Rectal polyp
C0031924	Piloerection
C0036572	Convulsion
C0595930	Blood cholesterol increased
C1142239	Call-Fleming syndrome
C0022893	Labyrinthitis
C0162281	Corneal deposits
C0037290	Pigmentation skin
C0030252	Palpitations
C1959797	Allergic hepatitis
C0007855	Cervical polyp
C0851664	Bullous conditions
C0007302	Chondropathy
C0019270	Hernia
C0085620	Paralysis flaccid
C0007102	Colon cancer
C0521500	Injection site extravasation
C0001430	Adenoma benign
C0877613	Rectal cramps
C0000772	Multiple congenital abnormalities
C0423153	Lacrimation
C2004487	Vaginismus
C0149732	Muscle rupture
C0017160	Gastroenteritis
C0239234	Low set ears
C0029877	Otitis
C0521854	Drug tolerance decreased
C1279296	Chronic leukaemia
C0424489	Chapped lips
C0275524	Infection mixed
C0027424	Nasal congestion
C0241266	Subcutaneous abscess
C0877336	Blood bilirubin decreased
C0241013	Serum ferritin increased
C0339916	Viral upper respiratory tract infection
C0555120	White blood cells urine positive
C0034012	Delayed puberty
C0026858	Musculoskeletal pain
C0005694	Bladder neck obstruction
C0853019	Blood thyroid stimulating hormone increased
C1608942	Complication of device insertion
C0857073	Cold hands & feet
C0393760	Initial insomnia
C0034050	Alveolar proteinosis
C0424813	Orbital oedema
C0238461	Anaplastic thyroid cancer
C0853714	Application site pruritus
C0162316	Iron deficiency anaemia
C0236071	Throat tightness
C1704437	Respiratory distress syndrome
C1141948	Troponin increased
C0014541	Epiglottitis
C0520575	Pyelonephritis acute
C0232203	Atrial rhythm
C0549418	Urine flow decreased
C0521464	Skin oedema
C0042267	Vaginal inflammation
C0877365	Infusion site erythema
C0241910	Autoimmune hepatitis
C0023467	Acute myeloid leukaemia
C0151937	Tendon rupture
C0949103	Catheter site pain
C0235218	Skin warm
C0151671	Glucose tolerance decreased
C0010598	Cyclothymic disorder
C0002962	Angina pectoris
C0010666	Acne cystic
C0152168	Spasm of sphincter of Oddi
C0000786	Abortion spontaneous
C1696700	C1 esterase deficiency acquired
C0948376	Electrocardiogram ST-T segment abnormal
C0155919	Acute pulmonary oedema
C0877334	Arterial stenosis limb
C0085625	Hypoalgesia
C0860499	Conjunctival follicles
C0744727	Haematocrit decreased
C0235472	Pulse abnormal
C0948266	Latent tetany
C0003486	Aortic aneurysm
C0151814	Coronary artery occlusion
C0919582	Sudden onset of sleep
C0271420	Ceruminosis
C0860210	Granulomatous liver disease
C0151636	Ventricular extrasystoles
C0043145	Whiplash injury
C0339383	Chorioretinopathy
C0442874	Neuropathy
C0022904	Lacrimal disorder
C0158986	Hypoglycaemia neonatal
C0033860	Psoriasis
C0877609	Alertness decreased
C0018808	Cardiac murmur
C0587246	Limb paresis
C0154041	Parathyroid tumour benign
C0003460	Anuria
C1704436	Peripheral arterial disease
C0038525	Subarachnoid haemorrhage
C0221714	Injection site infection
C0542519	Renal agenesis
C0009193	Coccydynia
C0271429	Otitis media acute
C0235706	Back distress
C0231441	Immobile
C0035309	Retinal disorder
C0026976	Myelitis transverse
C0877605	Burning anal
C0854029	Blood creatine increased
C0042900	Vitiligo
C0015944	Premature rupture of membranes
C0855333	Electrocardiogram QT corrected interval prolonged
C0234909	Nail changes
C0742339	Chest heaviness
C0004114	Astrocytoma
C1096355	Electrocardiogram U-wave abnormality
C0748536	Scleral haemorrhage
C0241136	Pain of skin
C0007115	Thyroid cancer
C0042907	Vitreous detachment
C0392025	Enlargement abdomen
C0024440	Cystoid macular oedema
C0151723	Hypomagnesaemia
C0265031	Haemorrhoidal haemorrhage
C0302590	Disorder calcium (NOS)
C0151529	Bleeding time prolonged
C0022572	Keratoacanthoma
C0029163	Mouth haemorrhage
C0494475	Tonic-clonic seizures
C0686347	Tardive dyskinesia
C0040441	Tooth fracture
C0700594	Radiculopathy
C0029456	Osteoporosis
C0035243	Respiratory tract infection
C0541881	Difficulty focusing eyes
C0014804	Erythromelalgia
C0008733	Chylothorax
C0269993	Suppressed lactation
C0282612	Prostatic intraepithelial neoplasia
C0853786	Blood sodium abnormal
C0004610	Bacteraemia
C0158266	Intervertebral disc degeneration
C1167675	Application site folliculitis
C0032463	Polycythaemia vera
C0221392	Vaginitis atrophic
C3241958	Myocardial disorder
C0860603	Anxiety symptoms NOS
C0017412	Genital disorder male
C0584995	Writing impaired
C0009917	Muscle contracture
C0020498	Senile ankylosing vertebral hyperostosis
C0001364	Acute yellow liver atrophy
C0162297	Respiratory arrest
C0376175	Bell's palsy
C0024137	Cutaneous lupus erythematosus
C1328466	Laryngopharyngeal dysesthesia
C0856136	Fatigue aggravated
C0018811	Foetal heart rate
C0031133	Vermiculation
C0854082	Blood prolactin increased
C0037023	Sialoadenitis
C0235735	Unexpected therapeutic effect
C0242339	Dyslipidaemia
C1387528	Acute haemolytic anaemia
C0858797	Instillation site pain
C0948369	Myocardial reinfarction
C0243026	Sepsis
C0241254	Mucous stools
C0009241	Cognitive disorder
C0035328	Retinal vein occlusion
C0235369	Hepatitis granulomatous
C0239521	Facial rash
C0521481	Oedema mucosal
C0679048	Obsessive thoughts
C1096717	Pain during injection
C0241157	Pustule
C0030521	Parathyroid tumour
C0589616	Genitourinary chlamydia infection
C0340613	Arterial aneurysm
C0549225	Myasthenic syndrome
C0423636	Cardiac pain
C0009760	Conjunctival haemorrhage
C0151883	Vesiculobullous rash
C0026640	Oral neoplasm
C0262988	Cutaneous vasculitis
C2939447	Right ventricular failure
C0030196	Pain in extremity
C2981158	Loss of libido
C0520463	Hepatitis chronic active
C0852354	Apocrine and eccrine gland disorders
C0151981	Peptic ulcer reactivated
C0020649	Hypotension
C0004093	Asthenia
C0239093	Conjunctival irritation
C0029118	Opportunistic infection
C0235439	Ankle edema
C0013395	Dyspepsia
C0853908	Oropharyngeal swelling
C0742115	Cerebritis
C0027719	Nephrosclerosis
C0027125	Myotonia
C1611174	Post-traumatic pain
C1411873	Ovulation disorder
C0035317	Retinal haemorrhage
C0854985	Lung adenocarcinoma stage I
C0019151	Hepatic encephalopathy
C0004509	Azoospermia
C0009676	Confusional state
C0027609	Drug withdrawal syndrome neonatal
C0175167	Acneiform eruption
C0549410	Palmar-plantar erythrodysaesthesia syndrome
C0854431	Injection site vesicles
C0240717	Perineal pain
C0427546	Lymphocyte abnormal
C0152029	Sinus congestion
C0016722	Frigidity
C0007384	Cataplexy
C0037278	Skin infection
C0043094	Weight increased
C0151628	Epiphyses premature fusion
C0021051	Immunodeficiency
C0221717	Contact lens intolerance
C0406317	Plaque psoriasis
C0011644	Scleroderma
C0151623	Enterocolitis haemorrhagic
C0267925	Bile duct stenosis
C0853348	Arthropod bite
C0024305	Non-Hodgkin's lymphoma
C0877056	Hypoglycaemic seizure
C0032961	Pregnancy
C0008925	Cleft palate
C0270458	Psychotic depression
C0016045	Fibroma
C0003492	Coarctation of the aorta
C1504422	Application site hypersensitivity
C0392548	Cauda equina syndrome
C0155003	Blindness transient
C0750426	White blood cell count increased
C0014743	Erythema nodosum
C0005967	Bone neoplasm
C1609496	Eyelid exfoliation
C0026826	Hypertonia
C0024523	Malabsorption
C0005818	Platelet disorder
C0151477	Hormone level abnormal
C0857051	Bad dreams
C0085617	Arterial spasm
C0242979	Muscle fatigue
C0149504	Toxic encephalopathy
C0085584	Encephalopathy
C0027707	Nephritis interstitial
C0853050	Blood acid phosphatase increased
C0029442	Osteomalacia
C0741494	Bilirubin total increased
C0019196	Hepatitis C
C1688637	Intraoperative floppy iris syndrome
C0242973	Ventricular dysfunction
C0948299	Application site discharge
C0541900	Disulfiram like reaction
C0011175	Dehydration
C0004134	Ataxia
C0239454	Erythema of eyelid
C0853762	Exacerbation of hot flushes
C0854121	Gastrointestinal motility disorder
C0012833	Dizziness
C0853857	Cellulitis staphylococcal
C0235338	Salivary gland pain
C0025517	Metabolic disorder
C1321632	Venous thrombosis deep limb
C0018924	Haemarthrosis
C0001623	Adrenal insufficiency
C0278134	Sensory loss
C0028173	NPN increased
C0037859	Spermatocele
C0241705	Strangury
C0030824	Penicillin allergy
C0010930	Dacryocystitis
C0235567	Sputum increased
C0849925	Ventricular failure
C0035400	Reye's syndrome
C0240417	Muscle mass
C0013146	Drug abuse
C1140716	Hypoxic-ischaemic encephalopathy
C0013362	Dysarthria
C0234376	Action tremor
C0155177	Eczema eyelids
C0855329	Electrocardiogram change
C0851444	Allergic conditions
C0560024	Swelling of eyelid
C0235639	Urine abnormality
C0235560	Respiratory tract haemorrhage
C0040580	Tracheal disorder
C1739363	Prostatic hypertrophy
C0234535	Clonic convulsion
C0457798	Dermatitis eyelid
C0302870	Microcytic
C0016169	Fistula
C0086565	Hepatic function abnormal
C0740292	5'nucleotidase increased
C0085688	Breast engorgement
C0235401	Glucose tolerance abnormal
C0008311	Cholangitis
C0022661	Renal failure chronic
C0920184	Fundic gland polyp
C1442998	Colpocele
C0027429	Nasal obstruction
C0017668	Focal segmental glomerulosclerosis
C0085623	Akinesia
C0015695	Liver fatty
C0151740	Intracranial pressure increased
C0235827	Therapeutic response decreased
C0005944	Bone metabolism disorder
C0019360	Herpes zoster
C0948522	Ocular vascular disorder
C0404521	Vaginal infection
C0234518	Slurred speech
C0877113	Scar pain
C0159056	Abnormal chest sounds NOS
C0151736	Accidental injury
C1112113	Vascular hypertensive disorders
C0853893	Device interaction
C0085570	Alkalosis hypokalaemic
C0004623	Bacterial infection
C0347950	Asthmatic attack
C0701836	Thermal burn
C0162834	Skin hyperpigmentation
C0853008	Parkinson's disease aggravated
C0085606	Micturition urgency
C0037998	Splenic infarction
C0549430	Procedural site reaction
C0027769	Nervousness
C0264909	Defect conduction intraventricular
C0035222	Acute respiratory distress syndrome
C0553706	Serum phosphate increased
C0863084	Skin discomfort
C0393444	Meningitis chemical
C0567085	Uterine pain
C0162533	Porphyria hepatic
C0032788	Postoperative hemorrhage
C0011849	Diabetes mellitus
C0012359	Distention
C3665386	Abnormal vision
C0085616	Vasospasm
C0154946	Acute angle-closure glaucoma
C0233471	Flat affect
C0859978	Amylase decreased
C0392699	Dysaesthesia
C0007194	Hypertrophic cardiomyopathy
C1141893	Muscle enzyme increased
C0151491	Congenital musculoskeletal anomaly
C0002418	Amblyopia
C0232807	Function kidney decreased
C0038814	Sunburn
C0241442	Protrusion tongue
C0151604	Oedema genital
C0235169	Excitability
C0019880	Homocystinuria
C0035579	Rickets
C1739111	Foetal anticonvulsant syndrome
C0919980	VIIth nerve paralysis
C0020555	Hypertrichosis
C0577822	Heart sounds abnormal
C0008449	Chondrodystrophy
C0267716	Incisional hernia
C0231557	Bone development abnormal
C0264995	Arterial occlusion
C1510471	Hypovitaminosis
C0032519	Polymenorrhoea
C1328291	Dysaesthesia pharynx
C1696574	Application site erosion
C0521509	Injection site induration
C2242575	Compulsive shopping
C0080274	Urinary retention
C1112789	Rectal spasm
C0016059	Fibrosis
C1740832	AML progression
C0595882	Serum calcium decreased
C0267028	Lip pain
C0877322	Muscle tightness
C0856100	Pancreatitis aggravated
C3665818	Medication residue present
C0018932	Haematochezia
C0341702	Fanconi syndrome acquired
C0231218	Malaise
C0012813	Diverticulitis
C0151698	Injection site haemorrhage
C0750151	Vaso-occlusive crisis
C0014356	Enterocolitis
C0700184	Throat irritation
C0740394	Hyperuricaemia
C0042769	Viral infection
C0026764	Plasma cell myeloma
C0150450	Altered state of consciousness
C0003811	Arrhythmia
C0151721	Hypogonadism male
C0521505	Injection site dermatitis
C0730362	Maculopathy
C1112722	Mental impairment disorders
C0858357	Oesophageal stenosis acquired
C0017658	Glomerulonephritis
C0024437	Macular degeneration
C0235324	Gingival swelling
C0016412	Folate deficiency
C0242966	Systemic inflammatory response syndrome
C0235890	Migraine aggravated
C0085932	Dermatitis bullous
C0032533	Polymyalgia rheumatica
C0028643	Numbness
C0040822	Tremor
C0020502	Hyperparathyroidism
C0524662	Dependence on opiates
C0151936	Tendon disorder
C0233773	Hypnagogic hallucination
C0005586	Bipolar disorder
C0860239	Catheter related infection
C0151662	Gamma-glutamyltransferase increased
C0151626	Necrolysis epidermal
C1527401	Shock insulin
C0232766	Asterixis
C0235527	Cardiac failure right
C2004491	Scar
C0702166	Acne
C0040053	Thrombosis
C0023501	Leukaemoid reaction
C0014869	Reflux esophagitis
C0232492	Abdominal pain upper
C0849918	Eyelids pruritus
C0403673	Retrograde ejaculation
C2242996	Tingling sensation
C0948268	Haemodynamic instability
C0035522	Rib fracture
C0017178	Gastrointestinal disorder
C0031350	Pharyngitis
C0151737	Intentional injury
C0021290	Neonatal disorder
C0151830	Urethral pain
C0036749	Serositis
C0542008	Injection site haematoma
C0020640	Factor II deficiency
C0520904	Nausea postoperative
C0003813	Sinus arrhythmia
C0553737	Cervical discharge
C2938875	Upper-airway cough syndrome
C0003175	Anthrax
C0002871	Anaemia
C0024138	Discoid lupus erythematosus
C0220983	Metabolic alkalosis
C0039446	Telangiectasia
C0151848	Acid phosphatase high
C0040264	Tinnitus
C0234952	Oropharyngeal spasm
C0264906	Atrioventricular block second degree
C0859062	Serum bilirubin increased
C0948294	Eyelid margin crusting
C0340865	Anaphylactoid reaction
C0149512	Acute sinusitis
C0086227	Enterobiasis
C0860987	Phosphate low
C1167654	Acute prerenal failure
C0032914	Pre-eclampsia
C1096444	Altered visual depth perception
C1262022	Freezing phenomenon
C0239513	Pallor facial
C0155428	Otosalpingitis
C0003431	Antisocial personality disorder
C0001175	Acquired immunodeficiency syndrome
C0558401	Skin laceration
C0031190	Persistent foetal circulation
C0341512	Retroperitoneal haematoma
C0042023	Pollakiuria
C0037672	Somnambulism
C0001339	Pancreatitis acute
C0030567	Parkinson's disease
C0558368	Vaginal irritation
C0348024	Dysfunction thyroid
C0035067	Renal artery stenosis
C0344232	Vision blurred
C0701811	Short-term memory loss
C0740464	Electrolytes NOS decreased
C0235744	Breath holding
C0162848	Eruption lichenoid
C0241164	Skin tenderness
C0853644	Eosinophil count abnormal
C0853737	Blood bicarbonate increased
C0235980	Scleral discolouration
C0020488	Hypernatraemia
C0155169	Ocular hyperaemia
C0702109	Erythropoiesis abnormal
C0035854	Rosacea
C0239295	Oesophageal candidiasis
C0149707	Haematospermia
C0852913	Blood amylase increased
C0040038	Thromboembolism
C0919909	Tonic clonic movements
C0236106	Photosensitivity allergic reaction
C0233973	Painful erection
C0847033	Allergic oedema
C0235378	Hepatotoxicity
C0033778	Pruritus vulvae
C0007286	Carpal tunnel syndrome
C0026650	Movement disorder
C0002726	Amyloidosis
C0033774	Pruritus
C0018021	Goitre
C0003862	Arthralgia
C0038450	Stridor
C0085631	Agitation
C0699790	Carcinoma colon
C0423823	Nail thinning
C0455769	Energy increased
C0042376	Vascular headache
C0021364	Infertility male
C0020514	Hyperprolactinaemia
C0018772	Partial hearing loss
C0152021	Heart disease congenital
C0854402	Mechanical complication of implant
C1112214	Vulvovaginal pruritus
C0025320	Menopause
C0023223	Leg ulcer
C0574785	Lower urinary tract symptoms
C0015624	Fanconi syndrome
C0700292	Hypoxemia
C0018552	Hamartoma
C0017566	Gingival hyperplasia
C0522251	Sinus pain
C0028734	Nocturia
C2979982	Vaginal haemorrhage
C0234922	Rash scaly
C1266194	Hodgkin's disease lymphocyte predominance type stage unspecified
C0861021	Insulin C-peptide increased
C0155626	Acute myocardial infarction
C0948048	Malignant neoplasm progression
C0014550	Myoclonic epilepsy
C0700345	Vulvovaginal candidiasis
C0037286	Neoplasm skin
C0392390	Hepatitis B e antigen positive
C0341117	Esophageal erosions
C0277899	Pulse absent
C0000731	Abdominal distension
C0021092	Cerumen impaction
C0876994	Cardiotoxicity
C0423226	Corneal pigmentation
C0011581	Depressive disorder
C0015397	Eye disorder
C0232602	Retching
C0699828	Serotonin syndrome
C0438717	Transaminases increased
C0022073	Iridocyclitis
C0580413	Prothrombin time shortened
C0877225	Bone density decreased
C0947912	Myasthenia
C0425945	Prolonged menses
C0264268	Nasal septum ulceration
C0392674	Exhaustion
C0521465	Toxic skin eruption
C0235855	Sepsis secondary
C0235031	Neurological symptom
C0151785	Mucous membrane disorder
C0235222	Diastolic hypertension
C0270795	Monoparesis
C0018799	Cardiac disorder
C0349790	Exacerbation of asthma
C0001818	Agoraphobia
C1561643	Chronic kidney disease
C0878773	Hypertonic bladder
C0009377	Colonic pseudo-obstruction
C0036980	Cardiogenic shock
C1323189	Dermatitis infected
C1611162	Plateletcrit decreased
C0267940	Pancreatitis haemorrhagic
C0877027	Joint range of motion decreased
C1095923	Febrile bone marrow aplasia
C0162820	Allergic contact dermatitis
C1167709	Epidermal necrosis
C2239176	Hepatocellular carcinoma
C0151970	Oesophageal ulcer
C0013144	Drowsiness
C2242583	Acute liver injury
C0424823	Parotid swelling
C0151579	Crystalluria
C0743841	Febrile disorders
C0858678	Alopecia reversible
C0149745	Mouth ulceration
C0154822	Serous retinal detachment
C0919591	Urogenital haemorrhage
C1504537	Vegetative dystonia
C0034935	Extensor plantar response
C0409962	Localized osteoarthritis
C0041105	Trismus
C1510586	Autism spectrum disorder
C0221152	Obstipation
C0856623	Orofacial oedema
C0085082	Fungaemia
C0034063	Pulmonary oedema
C3495700	Atypical fracture
C0393761	Middle insomnia
C0338575	Superior sagittal sinus thrombosis
C0017563	Gingival disorder
C0086543	Cataract
C0600104	Compulsions
C1619727	Decompensated cirrhosis
C0034735	Raynaud's phenomenon
C0151465	Renal abscess
C1535893	Orthostatic intolerance
C0026766	Multi-organ failure
C0034186	Pyelonephritis
C0006272	Obliterative bronchiolitis
C1262281	Thrombosis in device
C0015927	Foetal death
C1142249	Infected cyst
C0006105	Brain abscess
C0813230	Serum triglycerides increased
C0152032	Urinary hesitation
C0013491	Ecchymosis
C0232257	Systolic murmur
C0012797	Diuresis
C0232487	Abdominal discomfort
C1579838	Sore mouth
C0157733	Abnormalities of the hair
C0858535	Thrombocytopenia toxic
C0234373	Tremor fine
C0025202	Malignant melanoma
C0231451	Joint hyperextension
C0852969	Tongue irritation
C0234146	Areflexia
C0542571	Face oedema
C0001126	Renal tubular acidosis
C0009450	Infection
C0338908	Anxiety depression
C0240059	Intraventricular haemorrhage
C0029560	Other conjunctivitis
C0022951	Lactose intolerance
C0026393	Molluscum contagiosum
C0270810	Peroneal nerve palsy
C1527344	Dysphonia
C0235818	Bullous eruption
C0270790	Quadriparesis
C0018378	Guillain-Barre syndrome
C0423271	Scleral hyperaemia
C0549346	Ischial neuralgia
C0018418	Gynaecomastia
C0392386	Platelet count decreased
C0235834	Upper motor neurone lesion
C0041747	Unintended pregnancy
C0155145	Chronic conjunctivitis
C0152009	WBC abnormal NOS
C3495797	Peripheral artery stenosis
C0426576	Gastrointestinal symptom NOS
C1142524	Asymptomatic hyperlactatemia
C0553692	Haemorrhagic stroke
C0016034	Fibrocystic breast disease
C1527340	Voice disturbance
C0040517	Tourette's disorder
C0274702	Cholinergic syndrome
C0005699	Blast cell crisis
C0014457	Eosinophilia
C0403639	Chemical cystitis
C0028077	Night blindness
C0161479	Nerve injury
C0422974	Halo vision
C0158350	Tendinous contracture
C0159321	Facial bones fracture
C0221155	Systolic hypertension
C0085639	Fall
C0026946	Fungal infection
C0277884	Blood pressure systolic increased
C0004604	Back pain
C0745528	Klebsiella sepsis
C0277589	Found dead (cause undetermined)
C0032320	Pneumoperitoneum
C0037274	Skin disorder
C0007867	Cervix disorder
C0151859	Polyserositis
C0019069	Factor VIII deficiency
C1257843	Pseudomembranous colitis
C0022593	Keratosis
C0392039	Ovarian enlargement
C0392703	Shakiness
C0936250	Eczema herpeticum
C0521161	Vasculitic rash
C0405479	Nipple disorder
C0239819	Edema hands
C3267047	Immune-mediated necrotising myopathy
C0037928	Spinal cord disorder
C0014733	Erysipelas
C1963790	Vulvovaginal burning sensation
C0234215	Discomfort
C0238621	Aminoaciduria
C0016167	Anal fissure
C0282005	Scrotal swelling
C0859253	Microhemorrhage
C0235437	Gravitational oedema
C0080179	Spinal fracture
C0549385	Feeling of body temperature change
C0263437	Acne infantile
C0334634	Mantle cell lymphoma
C0037822	Speech disorder
C0595939	Stillbirth
C0031111	Periostitis
C0851362	General disorders and administration site conditions
C0162810	Hypertrophic scar
C0042963	Vomiting
C0238106	Clostridium difficile colitis
C0014863	Oesophageal spasm
C0007117	Basal cell carcinoma
C1704320	Glomerulonephritis minimal lesion
C0085129	Bronchial hyperreactivity
C0860864	Albumin low
C1096256	Cryptococcal cutaneous infection
C1328407	Hip dysplasia
C0749249	Wide complex tachycardia
C0235295	Abdominal distress
C0018817	Atrial septal defect
C0002874	Aplastic anaemia
C0854442	Injection site hypertrophy
C0151702	Muscle haemorrhage
C0700361	Emotional distress
C1112746	Hepatic lymphoma
C1510472	Drug dependence
C0341245	Duodenitis haemorrhagic
C2712122	Blood pressure normal
C0221490	Epigastric distress
C0007933	Chalazion
C0024031	Low back pain
C0521491	Application site pain
C0085096	Peripheral vascular disorder
C0080276	Urogenital disorder
C0281778	Anal abscess
C0231529	Tendon pain
C0158570	Vascular anomaly
C0037188	Sinoatrial block
C0151190	Palpable purpura
C0235839	Fever neonatal
C0004239	Atrial flutter
C0852932	Arthropod sting
C0042035	Micturition disorder
C0028841	Hypotony of eye
C0877338	Breast discomfort
C0151735	Injection site reaction
C0041601	Ulna fracture
C0231528	Myalgia
C0006444	Bursitis
C0151795	Injection site necrosis
C0036690	Septicemia
C0549448	Haemoglobin increased
C0020542	Pulmonary hypertension
C0206277	Fatal outcomes
C0004936	Mental disorder
C0020701	Hysteria
C0239340	Edema of lower extremities
C1306577	Death
C0022602	Actinic keratosis
C1522058	Coagulation necrosis
C1096278	Anterior chamber inflammation
C0019209	Hepatomegaly
C0877047	Occult blood positive
C0270996	Eye swelling
C0003507	Aortic valve stenosis
C0948089	Acute coronary syndrome
C1868752	Procedural nausea
C0521592	Hypoaesthesia oral
C2721563	Infectious pneumonitis
C0008370	Cholestasis
C0021400	Influenza
C0087169	Withdrawal symptom
C0858899	Attention concentration difficulty
C0332601	Cushingoid
C0023798	Lipoma
C0151205	Periorbital oedema
C0032584	Polyp
C0042170	Vogt-Koyanagi-Harada syndrome
C0025637	Methaemoglobinaemia
